id,name,now_cost,position,team,transfers_in_event,goals_conceded,expected_goal_involvements,chance_of_playing_this_round,creativity,threat,dreamteam_count,bonus,red_cards,expected_goals_per_90,transfers_out,in_dreamteam,corners_and_indirect_freekicks_order,own_goals,influence_rank_type,ict_index_rank_type,selected_rank,goals_scored,transfers_in,event_points,value_form,selected_by_percent,cost_change_start_fall,minutes,total_points,cost_change_event,points_per_game_rank_type,selected_rank_type,bps,clean_sheets,threat_rank,status,influence,form_rank_type,news,clean_sheets_per_90,goals_conceded_per_90,form,ict_index,ep_this,cost_change_event_fall,web_name,ep_next,penalties_order,saves,starts,value_season,yellow_cards,cost_change_start,now_cost_rank_type,form_rank,points_per_game_rank,expected_goal_involvements_per_90,transfers_out_event,expected_goals_conceded_per_90,creativity_rank,threat_rank_type,expected_goals,chance_of_playing_next_round,starts_per_90,expected_goals_conceded,expected_assists,assists,creativity_rank_type,saves_per_90,news_added,points_per_game,expected_assists_per_90,influence_rank,direct_freekicks_order,now_cost_rank,ict_index_rank
23,Leandro Trossard,69,MID,Arsenal,24873,0,0.20,,0.8,26.0,0,1,0,0.46,59592,False,4.0,0,36,70,146,1,28313,7,0.6,1.9,1,35,8,0,37,49,27,0,79,a,37.8,36,,0.0,0.0,4.0,6.5,5.0,0,Trossard,5.0,,0,0,1.2,0,-1,19,80,83,0.51,12750,0.8,284,50,0.18,,0.0,0.31,0.02,0,163,0.0,,4.0,0.05,86,,35,111
24,Benjamin White,65,DEF,Arsenal,21570,0,0.15,,8.1,12.0,0,0,0,0.04,94125,False,,0,83,70,46,0,40602,6,0.9,9.9,0,180,12,0,12,15,45,2,129,a,15.0,10,,1.0,0.0,6.0,3.5,7.0,0,White,7.0,,0,2,1.8,0,0,2,33,37,0.08,40466,0.88,181,24,0.07,,1.0,1.75,0.08,0,51,0.0,,6.0,0.04,207,,46,210
25,Oleksandr Zinchenko,50,DEF,Arsenal,10644,0,0.04,,4.9,6.0,0,0,0,0.0,65066,False,,0,94,89,111,0,56647,0,0.6,2.9,0,68,6,0,8,39,22,1,174,a,7.2,39,,1.32,0.0,3.0,1.8,4.0,0,Zinchenko,4.0,,0,1,1.2,0,0,23,104,30,0.05,42676,0.42,196,45,0.00,,1.32,0.32,0.04,0,58,0.0,,6.0,0.05,253,,223,266
578,Riccardo Calafiori,59,DEF,Arsenal,2724,0,0.00,,0.0,0.0,0,0,0,0.0,73433,False,,0,106,205,145,0,6791,1,0.1,2.0,1,11,1,0,94,54,2,0,609,a,0.4,103,,0.0,0.0,0.5,0.0,1.5,0,Calafiori,1.5,,0,0,0.2,0,-1,9,326,307,0.0,22569,1.31,614,204,0.00,,0.0,0.16,0.00,0,205,0.0,,1.0,0.0,322,,96,614
597,Myles Lewis-Skelly,45,MID,Arsenal,618,0,0.00,,0.0,0.0,0,0,0,0.0,1017,False,,0,199,206,536,0,1360,0,0.0,0.0,0,0,0,0,207,223,0,0,461,a,0.0,207,,0.0,0.0,0.0,0.0,1.0,0,Lewis-Skelly,1.0,,0,0,0.0,0,0,253,503,503,0.0,506,0.0,496,183,0.00,,0.0,0.00,0.00,0,207,0.0,,0.0,0.0,496,,486,504
28,Leon Bailey,65,MID,Aston Villa,31192,3,0.48,,45.0,30.0,0,0,0,0.14,88420,False,3.0,0,91,50,102,0,46791,2,0.2,3.2,0,163,3,0,114,33,11,0,66,a,14.6,112,,0.0,1.66,1.5,8.8,0.5,0,Bailey,2.0,,0,2,0.5,1,0,30,213,218,0.27,35055,1.25,41,41,0.25,,1.1,2.26,0.23,0,35,0.0,,1.5,0.13,210,4.0,49,74
29,Ross Barkley,54,MID,Aston Villa,1081,1,0.03,,1.6,1.0,0,0,0,0.13,24799,False,,0,261,166,226,0,3607,1,0.1,0.7,1,14,1,0,150,78,2,0,255,a,0.0,162,,0.0,6.43,0.5,0.2,-0.5,0,Barkley,1.0,,0,0,0.2,0,-1,94,317,289,0.19,7290,2.44,258,145,0.02,,0.0,0.38,0.01,0,149,0.0,,1.0,0.06,587,,155,324
30,Enzo Barrenechea,50,MID,Aston Villa,317,0,0.00,,0.0,0.0,0,0,0,0.0,1603,False,,0,255,261,511,0,680,0,0.0,0.1,0,0,0,0,260,202,0,0,565,a,0.0,260,,0.0,0.0,0.0,0.0,-1.0,0,Barrenechea,0.5,,0,0,0.0,0,0,186,580,580,0.0,649,0.0,581,251,0.00,,0.0,0.00,0.00,0,261,0.0,,0.0,0.0,576,,285,583
31,Emiliano Buendía Stati,54,MID,Aston Villa,670,0,0.00,,0.0,0.0,0,0,0,0.0,4141,False,,0,262,267,430,0,1208,0,0.0,0.1,1,0,0,-1,266,155,0,0,583,a,0.0,266,,0.0,0.0,0.0,0.0,-1.0,1,Buendia,0.5,,0,0,0.0,0,-1,98,593,593,0.0,1524,0.0,594,261,0.00,,0.0,0.00,0.00,0,267,0.0,,0.0,0.0,592,,163,597
32,Matty Cash,45,DEF,Aston Villa,8885,1,0.01,,12.4,4.0,0,0,0,0.0,68708,False,,0,93,80,113,0,36911,1,0.3,2.9,0,96,3,0,54,41,10,0,191,d,9.6,53,Hamstring injury - 75% chance of playing,0.0,0.94,1.5,2.6,0.5,0,Cash,1.5,,0,2,0.7,0,0,79,171,177,0.01,43689,1.43,157,52,0.00,75.0,1.88,1.53,0.01,0,37,0.0,2024-08-24T21:30:05.205042Z,1.5,0.01,238,,386,238
33,Leander Dendoncker,45,MID,Aston Villa,4644,0,0.00,,0.0,0.0,0,0,0,0.0,16969,False,,0,167,174,197,0,9738,0,0.0,0.9,0,0,0,0,175,67,0,0,376,a,0.0,175,,0.0,0.0,0.0,0.0,-1.0,0,Dendoncker,0.5,,0,0,0.0,0,0,216,434,434,0.0,7613,0.0,424,149,0.00,,0.0,0.00,0.00,0,175,0.0,,0.0,0.0,429,,371,437
34,Moussa Diaby,65,MID,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,2332,False,,0,281,281,566,0,0,0,0.0,0.0,0,0,0,0,282,246,0,0,619,u,0.0,282,Permanent transfer to Al Ittihad,0.0,0.0,0.0,0.0,0.0,0,Diaby,0.0,,0,0,0.0,0,0,34,618,618,0.0,403,0.0,622,280,0.00,0.0,0.0,0.00,0.00,0,282,0.0,2024-07-26T08:50:40.300928Z,0.0,0.0,621,,53,621
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,3731,0,0.00,,0.0,0.0,0,0,0,0.0,14392,False,,0,169,169,237,0,6444,0,0.0,0.6,0,0,0,0,165,85,0,0,380,a,0.0,165,,0.0,0.0,0.0,0.0,-1.0,0,Diego Carlos,0.5,,0,0,0.0,0,0,72,437,437,0.0,5293,0.0,427,149,0.00,,0.0,0.00,0.00,0,168,0.0,,0.0,0.0,432,,377,440
36,Lucas Digne,45,DEF,Aston Villa,42728,2,0.16,,21.0,0.0,0,0,0,0.0,27665,False,4.0,0,39,36,119,0,54022,2,0.4,2.6,0,148,4,0,41,43,22,0,363,a,33.0,41,,0.0,1.22,2.0,5.4,1.0,0,Digne,2.5,,0,2,0.9,0,0,59,130,131,0.1,13238,1.14,98,143,0.00,,1.22,1.88,0.16,0,18,0.0,,2.0,0.1,110,2.0,353,136
37,Lewis Dobbin,50,MID,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,153,False,,0,251,257,619,0,0,0,0.0,0.0,0,0,0,0,256,278,0,0,555,u,0.0,256,Permanent transfer to West Bromwich Albion,0.0,0.0,0.0,0.0,0.0,0,Dobbin,0.0,,0,0,0.0,0,0,176,574,574,0.0,28,0.0,572,245,0.00,0.0,0.0,0.00,0.00,0,257,0.0,2024-08-07T08:21:33.016106Z,0.0,0.0,569,,268,576
38,Jhon Durán,60,FWD,Aston Villa,15478,2,0.62,,5.5,30.0,0,1,0,0.82,16572,False,,0,12,15,217,1,39273,1,0.6,0.7,0,53,7,0,11,35,31,0,64,a,37.0,11,,0.0,3.4,3.5,7.3,2.5,0,Duran,4.0,,0,0,1.2,0,0,24,95,98,1.06,10186,2.85,190,17,0.48,,0.0,1.68,0.14,0,19,0.0,,3.5,0.24,92,,83,92
39,Joe Gauci,40,GKP,Aston Villa,11140,0,0.00,,0.0,0.0,0,0,0,0.0,5755,False,,0,45,45,208,0,19035,0,0.0,0.8,0,0,0,0,44,28,0,0,304,a,0.0,44,,0.0,0.0,0.0,0.0,-1.0,0,Gauci,0.5,,0,0,0.0,0,0,62,378,378,0.0,3070,0.0,362,24,0.00,,0.0,0.00,0.00,0,26,0.0,,0.0,0.0,374,,601,382
40,Kortney Hause,40,DEF,Aston Villa,5214,0,0.00,,0.0,0.0,0,0,0,0.0,8702,False,,0,112,112,231,0,9653,0,0.0,0.6,0,0,0,0,108,82,0,0,271,a,0.0,108,,0.0,0.0,0.0,0.0,-1.0,0,Hause,0.5,,0,0,0.0,0,0,161,347,347,0.0,3823,0.0,330,83,0.00,,0.0,0.00,0.00,0,111,0.0,,0.0,0.0,342,,562,350
41,Samuel Iling-Junior,54,MID,Aston Villa,138,0,0.00,,0.0,0.0,0,0,0,0.0,2490,False,,0,267,271,490,0,317,0,0.0,0.1,1,0,0,-1,270,188,0,0,587,a,0.0,270,,0.0,0.0,0.0,0.0,-1.0,1,Iling Jr,0.5,,0,0,0.0,0,-1,108,597,597,0.0,851,0.0,598,265,0.00,,0.0,0.00,0.00,0,271,0.0,,0.0,0.0,597,,174,601
42,Boubacar Kamara,50,MID,Aston Villa,22,0,0.00,0.0,0.0,0.0,0,0,0,0.0,96,False,,0,244,250,618,0,45,0,0.0,0.0,0,0,0,0,250,277,0,0,539,i,0.0,250,Knee injury - Expected back 14 Sep,0.0,0.0,0.0,0.0,0.0,0,Kamara,0.0,,0,0,0.0,0,0,154,564,564,0.0,35,0.0,562,234,0.00,0.0,0.0,0.00,0.00,0,251,0.0,2024-07-17T13:30:04.954579Z,0.0,0.0,558,,238,565
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,753,False,,0,130,130,578,0,0,0,0.0,0.0,0,0,0,0,125,193,0,0,307,u,0.0,125,Has joined Preston North End for the rest of the season,0.0,0.0,0.0,0.0,0.0,0,Kesler-Hayden,0.0,,0,0,0.0,0,0,186,381,381,0.0,166,0.0,365,102,0.00,0.0,0.0,0.00,0.00,0,129,0.0,2024-08-09T11:14:21.895838Z,0.0,0.0,377,,604,385
44,Ezri Konsa Ngoyo,45,DEF,Aston Villa,75856,3,0.09,,15.1,9.0,0,0,0,0.04,120050,False,,0,59,45,34,0,116022,1,0.3,12.6,0,180,3,0,55,10,17,0,139,a,24.6,54,,0.0,1.5,1.5,4.9,0.5,0,Konsa,2.0,,0,2,0.7,0,0,80,172,178,0.05,48041,1.66,135,28,0.07,,1.0,3.33,0.02,0,31,0.0,,1.5,0.01,155,,387,152
45,Ian Maatsen,50,DEF,Aston Villa,8940,1,0.13,,25.6,0.0,0,0,0,0.0,73515,False,,0,84,66,106,0,20355,1,0.2,3.1,0,30,2,0,90,38,5,0,553,a,13.2,77,,0.0,3.0,1.0,3.9,0.0,0,Maatsen,1.5,,0,0,0.4,0,0,30,244,276,0.39,30903,4.32,81,198,0.00,,0.0,1.44,0.13,0,11,0.0,,1.0,0.39,215,,263,197
46,Filip Marschall,40,GKP,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,23,False,,0,44,44,625,0,0,0,0.0,0.0,0,0,0,0,43,66,0,0,303,u,0.0,43,Has joined MK Dons for the rest of the season,0.0,0.0,0.0,0.0,0.0,0,Marschall,0.0,,0,0,0.0,0,0,61,377,377,0.0,7,0.0,361,23,0.00,0.0,0.0,0.00,0.00,0,25,0.0,2024-07-18T09:50:40.812599Z,0.0,0.0,373,,600,381
47,Emiliano Martínez Romero,50,GKP,Aston Villa,71873,3,0.00,,0.0,0.0,0,0,0,0.0,135064,False,,0,10,10,32,0,101938,1,0.4,12.7,0,180,4,0,16,5,21,0,518,a,44.2,15,,0.0,1.5,2.0,4.4,1.0,0,Martinez,2.5,,5,2,0.8,0,0,7,141,145,0.0,62384,1.66,546,60,0.00,,1.0,3.33,0.00,0,61,2.5,,2.0,0.0,54,,188,174
48,John McGinn,55,MID,Aston Villa,8709,1,0.32,,4.6,15.0,0,0,0,0.22,38853,False,,0,146,125,143,0,15964,3,0.5,2.0,0,125,5,0,52,48,16,1,116,a,2.2,51,,0.72,0.72,2.5,2.2,1.5,0,McGinn,3.0,,0,2,0.9,0,0,64,118,119,0.23,14683,1.18,201,70,0.30,,1.44,1.64,0.02,0,122,0.0,,2.5,0.01,296,3.0,109,255
49,Tyrone Mings,45,DEF,Aston Villa,56,0,0.00,0.0,0.0,0.0,0,0,0,0.0,2686,False,,0,167,167,506,0,121,0,0.0,0.1,0,0,0,0,163,180,0,0,375,i,0.0,163,Knee injury - Expected back 14 Sep,0.0,0.0,0.0,0.0,0.0,0,Mings,0.0,,0,0,0.0,0,0,68,433,433,0.0,654,0.0,423,147,0.00,0.0,0.0,0.00,0.00,0,166,0.0,2024-08-05T15:00:04.309727Z,0.0,0.0,428,,370,436
50,Kosta Nedeljković,40,DEF,Aston Villa,43023,2,0.01,,5.5,0.0,0,0,0,0.0,10080,False,,0,72,79,198,0,52092,1,0.2,0.9,0,82,2,0,70,72,7,0,328,a,19.8,65,,0.0,2.2,1.0,2.6,0.0,0,Nedeljkovic,1.5,,0,0,0.5,0,0,204,216,225,0.01,6746,1.96,188,119,0.00,,0.0,1.79,0.01,0,53,0.0,,1.0,0.01,180,,626,236
51,Robin Olsen,45,GKP,Aston Villa,72,0,0.00,50.0,0.0,0.0,0,0,0,0.0,1756,False,,0,59,59,459,0,132,0,0.0,0.1,0,0,0,0,58,60,0,0,370,d,0.0,58,Knock - 50% chance of playing,0.0,0.0,0.0,0.0,-0.5,0,Olsen,0.2,,0,0,0.0,0,0,22,430,430,0.0,516,0.0,419,44,0.00,50.0,0.0,0.00,0.00,0,46,0.0,2024-08-12T14:30:04.425331Z,0.0,0.0,425,,364,433
52,Pau Torres,45,DEF,Aston Villa,15881,3,0.02,,2.9,0.0,0,0,0,0.0,17839,False,,0,26,65,161,0,24194,1,0.3,1.5,0,180,3,0,61,60,20,0,416,a,37.6,60,,0.0,1.5,1.5,4.0,0.5,0,Pau,2.0,,0,2,0.7,0,0,112,179,185,0.01,7477,1.66,226,172,0.00,,1.0,3.33,0.02,0,69,0.0,,1.5,0.01,88,,431,193
53,Jacob Ramsey,55,MID,Aston Villa,2912,2,0.23,,23.7,30.0,0,0,0,0.15,6330,False,,0,61,57,297,0,6479,1,0.5,0.3,0,53,5,0,53,98,25,0,63,a,25.6,52,,0.0,3.4,2.5,8.0,1.5,0,Ramsey,3.0,,0,0,0.9,0,0,77,119,120,0.39,3330,2.85,87,39,0.09,,0.0,1.68,0.14,1,67,0.0,,2.5,0.24,149,,128,81
54,Morgan Rogers,50,MID,Aston Villa,251678,3,0.47,,46.7,31.0,0,0,0,0.16,85140,False,,0,44,37,40,0,306207,2,0.4,10.8,0,180,4,0,79,15,30,0,59,a,32.2,76,,0.0,1.5,2.0,11.0,1.0,0,Rogers,2.5,,0,2,0.8,0,0,162,149,154,0.24,38976,1.66,39,35,0.32,,1.0,3.33,0.15,0,33,0.0,,2.0,0.08,113,,248,53
55,Viljami Sinisalo,40,GKP,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,22,False,,0,39,39,626,0,0,0,0.0,0.0,0,0,0,0,38,67,0,0,295,u,0.0,38,Permanent transfer to Celtic,0.0,0.0,0.0,0.0,0.0,0,Sinisalo,0.0,,0,0,0.0,0,0,56,369,369,0.0,9,0.0,353,18,0.00,0.0,0.0,0.00,0.00,0,20,0.0,2024-07-18T09:43:21.242291Z,0.0,0.0,365,,591,373
56,Lino da Cruz Sousa,40,DEF,Aston Villa,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,9238,False,,0,137,137,394,0,0,0,0.0,0.2,0,0,0,0,133,145,0,0,319,u,0.0,133,Loaned to  Bristol Rovers,0.0,0.0,0.0,0.0,0.0,0,Sousa,0.0,,0,0,0.0,0,0,195,393,393,0.0,1631,0.0,376,110,0.00,0.0,0.0,0.00,0.00,0,136,0.0,2024-08-16T11:50:34.812830Z,0.0,0.0,388,,617,396
57,Youri Tielemans,55,MID,Aston Villa,19847,3,0.46,,67.6,4.0,0,2,0,0.09,18871,False,2.0,0,19,30,179,0,48075,2,0.8,1.2,0,180,9,0,31,59,41,0,210,a,53.4,30,,0.0,1.5,4.5,12.5,3.5,0,Tielemans,5.0,,0,2,1.6,0,0,68,60,63,0.23,10569,1.66,18,119,0.18,,1.0,3.33,0.28,1,16,0.0,,4.5,0.14,37,,115,42
58,Ollie Watkins,90,FWD,Aston Villa,99040,1,0.87,,21.5,27.0,0,0,0,0.63,667828,False,,0,26,17,10,0,146143,2,0.2,29.3,0,125,4,0,20,3,2,1,77,a,3.2,19,,0.72,0.72,2.0,5.1,1.0,0,Watkins,2.5,2.0,0,2,0.4,0,0,2,162,168,0.63,305707,1.18,94,18,0.87,,1.44,1.64,0.00,0,11,0.0,,2.0,0.0,288,,8,147
